Rowid,Country,State lgd code,State,District lgd code,District,Year,Type of residence namely rural or urban,Number of census houses,Houses having grass or thatch or bamboo etc. as material of wall,Houses having plastic or polythene as material of wall,Houses having mud or unburnt brick as material of wall,Houses having wood as material of wall,Houses having stone not packed with mortar as material of wall,Houses having stone packed with mortar as material of wall,Houses having galvanized iron (gi) sheets or metal or asbestos sheets as material of wall,Houses having burnt brick as material of wall,Houses having concrete as material of wall,Houses having any other material of wall
184,India,7,Delhi,77,Central,2011,Urban,165070.7843,405.341168,374.2367528,3074.147609,932.5261833,2689.615177,9287.89573,557.5929053,137851.1108,9684.227683,214.0903205
185,India,7,Delhi,78,East,2011,Rural,827,1,0,2,0,2,1,0,819,1,1
186,India,7,Delhi,78,East,2011,Urban,,,,,,,,,,,
187,India,7,Delhi,79,New Delhi,2011,Rural,0,0,0,0,0,0,0,0,0,0,0
188,India,7,Delhi,79,New Delhi,2011,Urban,75002.9419,157.8552291,309.3108405,3590.244641,365.8000526,904.0533026,2181.990897,160.4801799,62116.23731,5074.623608,142.3458429
189,India,7,Delhi,80,North,2011,Rural,32918.37274,717.3072593,126.957037,1020.417185,61.89155556,688.7419259,1321.940148,64.272,27711.54726,1171.178667,34.1197037
190,India,7,Delhi,80,North,2011,Urban,232010.0608,970.8902394,618.927895,4490.471928,294.3064571,3372.927828,9970.710392,503.3649487,200381.0468,11080.37202,327.0423468
191,India,7,Delhi,81,North East,2011,Rural,3720,4,32,39,0,17,110,3,3492,14,9
192,India,7,Delhi,81,North East,2011,Urban,,,,,,,,,,,
193,India,7,Delhi,82,North West,2011,Rural,8567.627259,186.6927407,33.04296296,265.5828148,16.10844444,179.2580741,344.0598519,16.728,7212.452741,304.8213333,8.880296296
194,India,7,Delhi,82,North West,2011,Urban,578056.1917,3316.14057,1688.293338,12850.67436,486.9269698,7397.931824,19943.01753,855.4803141,498901.1756,31910.50711,706.0441062
195,India,7,Delhi,83,South,2011,Rural,2254,3,10,140,2,42,143,0,1544,369,1
196,India,7,Delhi,83,South,2011,Urban,,,,,,,,,,,
197,India,7,Delhi,84,South West,2011,Rural,26493,16,4,551,25,438,1416,58,22599,1380,6
198,India,7,Delhi,84,South West,2011,Urban,392365.0212,448.7727935,1740.231173,10476.46147,630.4403372,4427.471869,13872.38545,848.0816519,332006.4295,27472.26959,442.4773836
199,India,7,Delhi,85,West,2011,Rural,1151,0,0,1,0,3,22,0,1118,5,2
200,India,7,Delhi,85,West,2011,Urban,522552,1089,1911,13509,674,5325,19743,609,446857,32376,459
201,India,7,Delhi,670,South East,2011,Rural,zero,zero,zero,0,0,0,0,0,0,0,0
