Rowid,Country,State lgd code,State,District lgd code,District,Year,Type of residence namely rural or urban,Number of census houses,Houses having grass or thatch or bamboo etc. as material of wall,Houses having plastic or polythene as material of wall,Houses having mud or unburnt brick as material of wall,Houses having wood as material of wall,Houses having stone not packed with mortar as material of wall,Houses having stone packed with mortar as material of wall,Houses having galvanized iron (gi) sheets or metal or asbestos sheets as material of wall,Houses having burnt brick as material of wall,Houses having concrete as material of wall,Houses having any other material of wall
202,India,7,Delhi,670,South East,2011,Urban,,,,,,,,,,,
203,India,7,Delhi,671,Shahdara,2011,Rural,zero,zero,zero,0,0,0,0,0,0,0,0
204,India,7,Delhi,671,Shahdara,2011,Urban,,,,,,,,,,,
205,India,7,Delhi,999999,Unknown Districts Of India,2011,Urban,1296366,4201,2173,23500,1411,11715,46151,2695,1137880,64113,2527
206,India,8,Rajasthan,86,Ajmer,2011,Rural,294870,3475,251,51314,458,32241,197426,136,9025,372,172
207,India,8,Rajasthan,86,Ajmer,2011,Urban,189061,338,202,2772,519,17756,126228,390,39380,1245,231
208,India,8,Rajasthan,87,Alwar,2011,Rural,505266,5046,385,42887,906,37965,282403,159,133293,997,1225
209,India,8,Rajasthan,87,Alwar,2011,Urban,119165.1423,224.554402,70.35395428,3048.350101,172.5117509,5349.791783,27756.08059,192.7505597,80749.95571,765.2197218,835.5736761
210,India,8,Rajasthan,88,Banswara,2011,Rural,339174,25094,1361,227163,2290,14819,24673,84,42231,1124,335
211,India,8,Rajasthan,88,Banswara,2011,Urban,26885,342,35,3460,24,637,1290,40,20410,568,79
212,India,8,Rajasthan,89,Baran,2011,Rural,191907.3776,4019.393106,213.2738733,81410.4532,1626.064321,25050.96198,69049.79842,51.11578384,10142.78693,256.3829773,87.14695641
213,India,8,Rajasthan,89,Baran,2011,Urban,48746,321,61,10802,146,5150,12525,35,19111,512,83
214,India,8,Rajasthan,90,Barmer,2011,Rural,416017,81087,1467,132340,23815,16849,89805,486,64745,2005,3418
215,India,8,Rajasthan,90,Barmer,2011,Urban,31759,969,82,1271,85,1719,23962,98,3132,207,234
216,India,8,Rajasthan,91,Bharatpur,2011,Rural,338086,7171,485,36947,509,15252,110430,79,163455,537,3221
217,India,8,Rajasthan,91,Bharatpur,2011,Urban,85521,418,201,2970,86,1687,14088,22,64570,234,1245
218,India,8,Rajasthan,92,Bhilwara,2011,Rural,394235,4073,561,103299,635,44038,171409,191,68863,846,320
219,India,8,Rajasthan,92,Bhilwara,2011,Urban,99362,202,189,3392,163,5713,21721,261,66249,1267,205
220,India,8,Rajasthan,93,Bikaner,2011,Rural,242554.8647,23439.51152,405.0426457,87193.63675,2038.005127,2708.195052,13175.09135,87.0088554,112461.2329,231.0340234,816.1064978
221,India,8,Rajasthan,93,Bikaner,2011,Urban,133478,826,162,6352,70,1434,3843,154,119462,402,773
222,India,8,Rajasthan,94,Bundi,2011,Rural,177525,1879,276,67453,654,20741,76872,85,8960,193,412
223,India,8,Rajasthan,94,Bundi,2011,Urban,42546,165,36,4237,196,6769,19959,6,10820,288,70
224,India,8,Rajasthan,95,Chittorgarh,2011,Rural,268363,3751,402,72095,940,34888,132658,85,22956,300,288
225,India,8,Rajasthan,95,Chittorgarh,2011,Urban,58086,214,54,2583,182,6964,25962,225,21293,455,154
226,India,8,Rajasthan,96,Churu,2011,Rural,254921,9508,257,34731,1020,4814,45330,153,156366,231,2511
227,India,8,Rajasthan,96,Churu,2011,Urban,96911.85775,540.445598,128.6460457,7036.649899,155.4882491,2889.208217,16588.91941,72.24944034,68620.04429,228.7802782,651.4263239
228,India,8,Rajasthan,97,Dausa,2011,Rural,256059,10436,134,32949,647,25249,174743,80,11257,298,266
229,India,8,Rajasthan,97,Dausa,2011,Urban,34770,122,9,813,63,2328,21344,14,9940,39,98
230,India,8,Rajasthan,98,Dholpur,2011,Rural,161598,4070,209,19739,456,17979,93064,24,24717,221,1119
231,India,8,Rajasthan,98,Dholpur,2011,Urban,40586,482,117,2811,136,2445,13492,24,19874,127,1078
232,India,8,Rajasthan,99,Dungarpur,2011,Rural,264893,2342,387,199193,479,7731,20888,64,33390,255,164
233,India,8,Rajasthan,99,Dungarpur,2011,Urban,18663,112,15,3377,44,790,4489,3,9711,88,34
234,India,8,Rajasthan,100,Ganganagar,2011,Rural,269700.1353,2194.488484,182.9573543,144307.3632,21.99487319,836.8049483,391.9086496,37.9911446,121123.7671,145.9659766,456.8935022
235,India,8,Rajasthan,100,Ganganagar,2011,Urban,104114,575,147,12443,17,820,780,5,88735,295,297
236,India,8,Rajasthan,101,Hanumangarh,2011,Rural,261513,2297,185,101257,53,1492,3885,90,149893,171,2190
237,India,8,Rajasthan,101,Hanumangarh,2011,Urban,67358,494,164,6788,5,382,220,15,58956,140,194
238,India,8,Rajasthan,102,Jaipur,2011,Rural,502634,9574,582,61273,990,37422,266722,278,122504,1777,1512
239,India,8,Rajasthan,102,Jaipur,2011,Urban,643270,1270,939,14844,931,21490,149177,1348,435737,12088,5446
240,India,8,Rajasthan,103,Jaisalmer,2011,Rural,98284,8347,289,35601,863,7480,40485,97,4260,133,729
241,India,8,Rajasthan,103,Jaisalmer,2011,Urban,15115,261,21,952,38,2137,11604,3,20,11,68
242,India,8,Rajasthan,104,Jalore,2011,Rural,302242,18837,568,114874,991,8968,43953,268,109586,2412,1785
243,India,8,Rajasthan,104,Jalore,2011,Urban,27274,666,121,3441,69,1089,6178,73,14902,334,401
244,India,8,Rajasthan,105,Jhalawar,2011,Rural,237475,4433,347,107350,723,18008,63725,52,42132,402,303
245,India,8,Rajasthan,105,Jhalawar,2011,Urban,44733,323,45,5065,173,6746,16260,94,15636,322,69
246,India,8,Rajasthan,106,Jhunjhunu,2011,Rural,301647,2019,217,8240,304,7440,112229,51,168821,798,1528
247,India,8,Rajasthan,106,Jhunjhunu,2011,Urban,82017,88,126,2290,103,1331,21651,29,55560,225,614
248,India,8,Rajasthan,107,Jodhpur,2011,Rural,413367,22451,444,62715,3246,53012,266695,206,3787,378,433
249,India,8,Rajasthan,107,Jodhpur,2011,Urban,213211,1132,185,2348,1245,23559,181228,254,1712,1209,339
250,India,8,Rajasthan,108,Karauli,2011,Rural,225191,6259,170,35189,894,45523,125356,55,11165,324,256
251,India,8,Rajasthan,108,Karauli,2011,Urban,37468,183,14,3100,218,4514,20882,15,8202,100,240
252,India,8,Rajasthan,109,Kota,2011,Rural,148609.2586,1964.200752,122.4514407,65480.65902,475.8682004,20102.94262,53563.04767,51.76808875,6611.382257,171.2329089,65.7056511
253,India,8,Rajasthan,109,Kota,2011,Urban,230550,993,319,10222,876,33325,101418,196,80671,1688,842
254,India,8,Rajasthan,110,Nagaur,2011,Rural,483188,23626,577,29906,1691,26175,385100,299,13837,416,1561
255,India,8,Rajasthan,110,Nagaur,2011,Urban,100753,946,124,1432,401,5523,87423,195,3918,455,336
256,India,8,Rajasthan,111,Pali,2011,Rural,341833,6683,508,73821,607,20998,134683,169,102077,1048,1239
257,India,8,Rajasthan,111,Pali,2011,Urban,87159,577,151,5358,181,3668,31389,180,43998,1155,502
258,India,8,Rajasthan,112,Rajsamand,2011,Rural,209926.2967,1981.606785,134.3143639,18082.28347,362.3988584,27849.53794,153662.0271,33.06161827,7300.471374,225.4453488,295.1498025
259,India,8,Rajasthan,112,Rajsamand,2011,Urban,35745,104,30,684,53,2882,23056,15,8425,425,71
260,India,8,Rajasthan,113,Sawai Madhopur,2011,Rural,206526,3914,217,59788,334,22428,111000,54,7739,405,647
261,India,8,Rajasthan,113,Sawai Madhopur,2011,Urban,47461,417,56,2829,239,4237,28640,28,10327,422,266
262,India,8,Rajasthan,114,Sikar,2011,Rural,346906.1399,4330.042091,407.8155986,14455.46369,876.6036273,13631.83611,187885.0443,119.9457643,123267.2624,413.8128868,1518.313466
263,India,8,Rajasthan,114,Sikar,2011,Urban,98650,170,362,3885,193,2430,28176,72,62153,359,850
264,India,8,Rajasthan,115,Sirohi,2011,Rural,161236.8601,8021.957909,701.1844014,50535.53631,474.3963727,6794.163889,28227.95573,147.0542357,64874.73759,358.1871132,1101.686534
265,India,8,Rajasthan,115,Sirohi,2011,Urban,41180,391,124,5065,66,1466,6568,133,26709,209,449
266,India,8,Rajasthan,116,Tonk,2011,Rural,214114,2265,193,108663,317,15490,64587,71,21833,280,415
267,India,8,Rajasthan,116,Tonk,2011,Urban,53726,456,82,6755,182,5451,21472,31,18792,263,242
268,India,8,Rajasthan,117,Udaipur,2011,Rural,496927.0672,7066.799357,851.9603221,228490.6043,1081.668621,36722.55746,168166.1268,167.0545091,52767.35944,1206.938765,405.99759
269,India,8,Rajasthan,117,Udaipur,2011,Urban,121144,306,136,6396,169,8959,26405,138,77081,1261,293
270,India,8,Rajasthan,629,Pratapgarh,2011,Rural,163574,2199,310,118955,383,3798,17883,47,19664,198,137
271,India,8,Rajasthan,629,Pratapgarh,2011,Urban,14472,61,52,1899,40,843,1627,12,9680,210,48
272,India,9,Uttar Pradesh,118,Agra,2011,Rural,367102,5576,557,25212,597,7413,45110,197,280116,642,1682
273,India,9,Uttar Pradesh,118,Agra,2011,Urban,305508,672,636,9066,596,6955,20536,462,261470,3401,1714
274,India,9,Uttar Pradesh,119,Aligarh,2011,Rural,406432,4903,389,22559,203,3547,8135,192,363906,1193,1405
275,India,9,Uttar Pradesh,119,Aligarh,2011,Urban,198180,654,340,7218,146,3715,7921,304,175213,1833,836
276,India,9,Uttar Pradesh,120,Prayagraj,2011,Rural,696236,25313,2621,283152,809,12686,21594,488,328653,3335,17585
277,India,9,Uttar Pradesh,120,Prayagraj,2011,Urban,202317,2168,966,15721,245,4953,9166,292,156808,3270,8728
278,India,9,Uttar Pradesh,121,Ambedkar Nagar,2011,Rural,321866,17012,1080,105697,265,2113,1785,162,183474,1273,9005
279,India,9,Uttar Pradesh,121,Ambedkar Nagar,2011,Urban,42591,1263,189,6540,28,564,474,43,30882,447,2161
280,India,9,Uttar Pradesh,122,Auraiya,2011,Rural,207674,10185,270,38438,99,1265,1759,65,149385,1133,5075
281,India,9,Uttar Pradesh,122,Auraiya,2011,Urban,40696,705,43,2043,13,386,774,12,34629,313,1778
282,India,9,Uttar Pradesh,123,Azamgarh,2011,Rural,608684,31535,1956,187714,370,4774,7090,426,354608,4454,15757
283,India,9,Uttar Pradesh,123,Azamgarh,2011,Urban,51246,582,125,4849,77,810,1840,119,39881,727,2236
284,India,9,Uttar Pradesh,124,Baghpat,2011,Rural,162811,1270,458,5225,134,1934,3788,105,147451,833,1613
285,India,9,Uttar Pradesh,124,Baghpat,2011,Urban,44279,481,108,1482,40,1508,2218,152,36884,929,477
286,India,9,Uttar Pradesh,125,Bahraich,2011,Rural,549894,89933,2831,174621,689,3099,5616,434,259069,906,12696
287,India,9,Uttar Pradesh,125,Bahraich,2011,Urban,45284,953,223,5357,45,635,964,32,35989,190,896
288,India,9,Uttar Pradesh,126,Ballia,2011,Rural,437289,58415,2037,67520,549,5007,7716,655,283216,3724,8450
289,India,9,Uttar Pradesh,126,Ballia,2011,Urban,45151,2799,214,4325,53,751,1933,76,33322,766,912
290,India,9,Uttar Pradesh,127,Balrampur,2011,Rural,296167,29905,864,36069,487,2237,2075,52,211263,1053,12162
291,India,9,Uttar Pradesh,127,Balrampur,2011,Urban,24824,515,83,1766,17,225,579,3,20422,96,1118
292,India,9,Uttar Pradesh,128,Banda,2011,Rural,273445,4002,747,203591,149,1055,2263,235,58948,589,1866
293,India,9,Uttar Pradesh,128,Banda,2011,Urban,49292,522,107,12920,41,570,1738,39,31883,542,930
294,India,9,Uttar Pradesh,129,Barabanki,2011,Rural,514291,54484,1620,106285,324,3477,4203,219,316001,2539,25139
295,India,9,Uttar Pradesh,129,Barabanki,2011,Urban,53426,1868,155,6056,24,527,973,40,40197,487,3099
296,India,9,Uttar Pradesh,130,Bareilly,2011,Rural,475575,16992,876,75353,242,3777,3616,105,369451,1735,3428
297,India,9,Uttar Pradesh,130,Bareilly,2011,Urban,270647,2314,586,14091,212,4726,5578,404,237585,2881,2270
298,India,9,Uttar Pradesh,131,Basti,2011,Rural,358566,27092,1444,39311,306,2994,2317,131,266913,1496,16562
299,India,9,Uttar Pradesh,131,Basti,2011,Urban,21224,488,71,1254,42,369,217,17,17407,140,1219
300,India,9,Uttar Pradesh,132,Bijnor,2011,Rural,476873,13736,1415,39354,380,4663,4663,201,404465,1556,6440
301,India,9,Uttar Pradesh,132,Bijnor,2011,Urban,151935,1819,327,9631,174,2796,3983,213,128983,2560,1449
302,India,9,Uttar Pradesh,133,Budaun,2011,Rural,419053.3914,24518.14301,675.5783506,80011.72061,148.827904,2799.302373,2474.890987,119.5639903,304377.3108,868.720181,3059.333149
303,India,9,Uttar Pradesh,133,Budaun,2011,Urban,101561.6369,2584.609475,173.1095888,8936.898236,62.94894138,1314.522011,983.1143492,23.14299315,86081.75162,548.0260779,853.5135875
304,India,9,Uttar Pradesh,134,Bulandshahr,2011,Rural,438742,4405,386,20707,153,4276,10554,120,395515,1179,1447
305,India,9,Uttar Pradesh,134,Bulandshahr,2011,Urban,143934,1064,156,5098,138,2807,4194,122,128682,1077,596
306,India,9,Uttar Pradesh,135,Chandauli,2011,Rural,256548,9808,1136,104614,177,2279,4024,241,129982,1225,3062
307,India,9,Uttar Pradesh,135,Chandauli,2011,Urban,38170,709,135,3410,41,534,935,56,31375,501,474
308,India,9,Uttar Pradesh,136,Chitrakoot,2011,Rural,150784,1345,595,104739,198,9880,8485,126,22656,225,2535
309,India,9,Uttar Pradesh,136,Chitrakoot,2011,Urban,16674,71,48,5426,15,419,615,12,9198,70,800
310,India,9,Uttar Pradesh,137,Deoria,2011,Rural,426692,24719,1377,31494,391,5440,7370,225,342679,2387,10610
311,India,9,Uttar Pradesh,137,Deoria,2011,Urban,45872,1632,139,3362,81,782,1145,39,37326,363,1003
312,India,9,Uttar Pradesh,138,Etah,2011,Rural,245668,7079,303,28094,44,1903,1484,47,205058,449,1207
313,India,9,Uttar Pradesh,138,Etah,2011,Urban,44806,277,38,1470,14,836,363,20,41350,249,189
314,India,9,Uttar Pradesh,139,Etawah,2011,Rural,214002,7853,625,33674,108,1678,2398,116,151154,2101,14295
315,India,9,Uttar Pradesh,139,Etawah,2011,Urban,61331,473,110,2399,45,743,912,37,48425,991,7196
316,India,9,Uttar Pradesh,140,Ayodhya,2011,Rural,362059,25468,1407,116329,280,2799,4079,473,191005,1313,18906
317,India,9,Uttar Pradesh,140,Ayodhya,2011,Urban,55770,1818,269,5339,76,1074,1248,67,41756,459,3664
318,India,9,Uttar Pradesh,141,Farrukhabad,2011,Rural,239285,13921,404,35074,71,2010,2585,104,177495,1512,6109
319,India,9,Uttar Pradesh,141,Farrukhabad,2011,Urban,68771,937,107,3847,43,1282,2013,65,58509,763,1205
320,India,9,Uttar Pradesh,142,Fatehpur,2011,Rural,416615,19665,1423,139247,202,4043,4313,307,226508,2522,18385
321,India,9,Uttar Pradesh,142,Fatehpur,2011,Urban,56406,1165,161,5950,38,1026,1661,22,43133,386,2864
322,India,9,Uttar Pradesh,143,Firozabad,2011,Rural,271428,5607,350,26634,81,1862,2680,68,231067,909,2170
323,India,9,Uttar Pradesh,143,Firozabad,2011,Urban,140719,357,221,5218,141,2387,4021,159,125866,1449,900
324,India,9,Uttar Pradesh,144,Gautam Buddha Nagar,2011,Rural,109179,1069,270,4015,107,1773,5668,97,92377,1255,2548
325,India,9,Uttar Pradesh,144,Gautam Buddha Nagar,2011,Urban,207099,941,537,5020,434,5178,9835,205,177868,4410,2671
326,India,9,Uttar Pradesh,145,Ghaziabad,2011,Rural,93794.09666,1249.289591,245.7618867,5265.718916,105.8785487,2115.252465,4731.302737,118.6303447,77374.80684,1144.183878,1443.271457
327,India,9,Uttar Pradesh,145,Ghaziabad,2011,Urban,518869.8761,3009.204191,1495.322611,15430.45673,832.5023049,15505.57637,30472.05889,921.7621062,431964.4125,11292.6905,7945.889834
328,India,9,Uttar Pradesh,146,Ghazipur,2011,Rural,485939,37462,2944,129946,1051,5676,12588,619,287890,1667,6096
329,India,9,Uttar Pradesh,146,Ghazipur,2011,Urban,39022,994,158,4486,95,903,2222,69,29109,314,672
330,India,9,Uttar Pradesh,147,Gonda,2011,Rural,500060,67012,2112,81407,603,4280,3883,269,308324,3130,29040
331,India,9,Uttar Pradesh,147,Gonda,2011,Urban,35501,664,193,1968,17,564,995,25,28434,299,2342
332,India,9,Uttar Pradesh,148,Gorakhpur,2011,Rural,558942.1288,33798.75149,2650.431586,75079.89831,557.8803565,7087.480013,8122.258094,420.9097314,409034.2782,4138.112537,18052.12853
464,India,10,Bihar,209,Nalanda,2011,Rural,411602,17545,2501,124310,640,7801,5969,806,246571,3129,2330
333,India,9,Uttar Pradesh,148,Gorakhpur,2011,Urban,136304,1950,876,8791,173,3132,4693,264,108807,1628,5990
334,India,9,Uttar Pradesh,149,Hamirpur,2011,Rural,171971,2326,402,91846,35,1940,3562,135,67421,625,3679
335,India,9,Uttar Pradesh,149,Hamirpur,2011,Urban,37587,344,59,9286,14,418,2111,5,23704,216,1430
336,India,9,Uttar Pradesh,150,Hardoi,2011,Rural,619495,32491,1219,238750,152,3065,1593,105,336622,626,4872
337,India,9,Uttar Pradesh,150,Hardoi,2011,Urban,89226,2467,227,8552,107,1025,1165,177,74710,220,576
338,India,9,Uttar Pradesh,151,Jalaun,2011,Rural,216920,4625,541,83786,136,2018,3627,108,117115,957,4007
339,India,9,Uttar Pradesh,151,Jalaun,2011,Urban,70299,759,96,10789,24,1096,1391,38,54192,658,1256
340,India,9,Uttar Pradesh,152,Jaunpur,2011,Rural,615793,29272,2938,185411,656,6152,17425,438,360165,2614,10722
341,India,9,Uttar Pradesh,152,Jaunpur,2011,Urban,51195,794,228,3717,121,665,2798,196,40490,618,1568
342,India,9,Uttar Pradesh,153,Jhansi,2011,Rural,214711,5386,1186,69958,342,3689,10141,351,116144,2168,5346
343,India,9,Uttar Pradesh,153,Jhansi,2011,Urban,143509,2405,716,22499,245,3111,9210,372,96515,2907,5529
344,India,9,Uttar Pradesh,154,Amroha,2011,Rural,234453,4158,272,15383,94,2055,1695,65,209216,450,1065
345,India,9,Uttar Pradesh,154,Amroha,2011,Urban,78383,651,122,4238,98,1194,1956,199,69114,444,367
346,India,9,Uttar Pradesh,155,Kannauj,2011,Rural,232517,12861,731,53959,131,1506,3643,219,145911,1553,12003
347,India,9,Uttar Pradesh,155,Kannauj,2011,Urban,46221,1137,152,3474,21,694,1164,49,36943,520,2067
348,India,9,Uttar Pradesh,156,Kanpur Dehat,2011,Rural,299000,14946,991,71089,175,2166,4565,235,192121,2508,10204
349,India,9,Uttar Pradesh,156,Kanpur Dehat,2011,Urban,30473,1201,90,2927,24,456,1149,53,22415,563,1595
350,India,9,Uttar Pradesh,157,Kanpur Nagar,2011,Rural,291529,13852,759,62931,166,3210,5579,115,191886,2032,10999
351,India,9,Uttar Pradesh,157,Kanpur Nagar,2011,Urban,529619,5781,1997,34281,592,12393,27004,910,407982,10404,28275
352,India,9,Uttar Pradesh,158,Kaushambi,2011,Rural,254926,8543,744,116532,204,2112,1595,80,119965,681,4470
353,India,9,Uttar Pradesh,158,Kaushambi,2011,Urban,21467,676,60,4881,53,225,235,4,14608,89,636
354,India,9,Uttar Pradesh,159,Kheri,2011,Rural,630250.8712,126380.2485,1898.568414,111118.1017,392.1196435,3045.519987,2599.741906,363.0902686,365530.7218,1021.887463,17900.87147
355,India,9,Uttar Pradesh,159,Kheri,2011,Urban,79905,3723,297,5071,44,849,810,41,66300,196,2574
356,India,9,Uttar Pradesh,160,Kushi Nagar,2011,Rural,531928,154872,2122,23206,771,5016,4610,408,326733,1693,12497
357,India,9,Uttar Pradesh,160,Kushi Nagar,2011,Urban,26698,2446,110,896,33,260,371,28,22000,117,437
358,India,9,Uttar Pradesh,161,Lalitpur,2011,Rural,186503,2898,444,73504,311,6574,9648,52,91071,729,1272
359,India,9,Uttar Pradesh,161,Lalitpur,2011,Urban,31375,367,47,5743,29,320,1315,45,22826,505,178
360,India,9,Uttar Pradesh,162,Lucknow,2011,Rural,274212,15124,975,73273,137,2797,4469,212,165971,1472,9782
361,India,9,Uttar Pradesh,162,Lucknow,2011,Urban,548379,6328,3981,17297,488,10268,18054,546,464253,6294,20870
362,India,9,Uttar Pradesh,163,Hathras,2011,Rural,204968,1924,256,10762,81,2026,3649,43,184887,352,988
363,India,9,Uttar Pradesh,163,Hathras,2011,Urban,54946,123,62,1424,44,730,1739,30,50308,175,311
364,India,9,Uttar Pradesh,164,Maharajganj,2011,Rural,400326,42264,1494,45443,469,3779,4040,228,284592,2012,16005
365,India,9,Uttar Pradesh,164,Maharajganj,2011,Urban,21375,1016,92,1351,23,198,105,14,17392,197,987
366,India,9,Uttar Pradesh,165,Mahoba,2011,Rural,129475,2195,325,64029,100,2244,6587,200,48679,1016,4100
367,India,9,Uttar Pradesh,165,Mahoba,2011,Urban,33999,792,113,10216,26,879,1662,83,18383,564,1281
368,India,9,Uttar Pradesh,166,Mainpuri,2011,Rural,262409,8744,276,47557,137,1404,1163,34,200825,686,1583
369,India,9,Uttar Pradesh,166,Mainpuri,2011,Urban,48775,481,39,1804,27,324,452,7,45133,260,248
370,India,9,Uttar Pradesh,167,Mathura,2011,Rural,290944,2473,436,9565,212,3336,9466,67,263637,522,1230
371,India,9,Uttar Pradesh,167,Mathura,2011,Urban,119839,277,171,3104,89,2041,5965,320,107029,532,311
372,India,9,Uttar Pradesh,168,Mau,2011,Rural,252219,14273,676,60366,224,2478,2808,159,163933,1628,5674
373,India,9,Uttar Pradesh,168,Mau,2011,Urban,68614,1285,190,7054,63,945,1110,33,55824,402,1708
374,India,9,Uttar Pradesh,169,Meerut,2011,Rural,268299,3518,383,13829,108,3734,5381,148,238546,1965,687
375,India,9,Uttar Pradesh,169,Meerut,2011,Urban,300446,1331,429,12032,288,7913,10756,326,262562,4079,730
376,India,9,Uttar Pradesh,170,Mirzapur,2011,Rural,335481,12392,1618,158378,488,5976,14600,314,136727,853,4135
377,India,9,Uttar Pradesh,170,Mirzapur,2011,Urban,55338,1364,324,9656,190,1590,4115,89,36903,402,705
378,India,9,Uttar Pradesh,171,Moradabad,2011,Rural,318702.7858,7475.118094,426.5027269,39035.09606,152.9780225,2811.736054,2002.788271,46.50531885,265188.6259,465.6651006,1097.77029
379,India,9,Uttar Pradesh,171,Moradabad,2011,Urban,197667.2435,1504.742154,387.2332969,9650.872399,308.5882366,2822.234164,2446.984876,80.14306144,178862.0861,889.0636816,715.2955484
380,India,9,Uttar Pradesh,172,Muzaffarnagar,2011,Rural,328702.9197,4631.360503,1085.752706,20249.39046,317.0479896,3406.216009,4233.000637,117.5264099,287953.3702,1775.195424,4934.059338
465,India,10,Bihar,209,Nalanda,2011,Urban,75720,1421,327,12023,97,1662,2537,184,54834,2117,518
381,India,9,Uttar Pradesh,172,Muzaffarnagar,2011,Urban,137315.0948,1113.161852,353.689357,5443.800142,178.901012,2285.271931,2603.318174,63.06089311,121844.6126,1339.358534,2089.920251
382,India,9,Uttar Pradesh,173,Pilibhit,2011,Rural,297601,28702,706,47300,338,1827,1186,76,213913,495,3058
383,India,9,Uttar Pradesh,173,Pilibhit,2011,Urban,63869,1478,197,5326,27,775,810,26,54546,232,452
384,India,9,Uttar Pradesh,174,Pratapgarh,2011,Rural,506922,20039,2125,212097,477,4871,3767,258,245663,2433,15192
385,India,9,Uttar Pradesh,174,Pratapgarh,2011,Urban,27332,530,167,3650,9,573,410,29,20752,335,877
386,India,9,Uttar Pradesh,175,Rae Bareli,2011,Rural,479765.8619,24861.53774,1441.248565,177825.9952,175.0331492,3537.377254,3127.543538,152.8338229,245732.0265,2620.374316,20291.89182
387,India,9,Uttar Pradesh,175,Rae Bareli,2011,Urban,48824.45792,1255.799911,168.4950214,4452.550759,38.16738054,714.9402014,967.2172776,20.48005785,37830.3905,352.8155421,3023.601268
388,India,9,Uttar Pradesh,176,Rampur,2011,Rural,291440,11667,807,50396,260,3070,2773,166,213677,1618,7006
389,India,9,Uttar Pradesh,176,Rampur,2011,Urban,102001,1138,221,7993,124,2058,2742,60,85692,659,1314
390,India,9,Uttar Pradesh,177,Saharanpur,2011,Rural,404600,8581,340,43600,266,2931,2266,196,342801,2468,1151
391,India,9,Uttar Pradesh,177,Saharanpur,2011,Urban,184376,900,162,8016,122,2522,2786,174,167329,1893,472
392,India,9,Uttar Pradesh,178,Sant Kabeer Nagar,2011,Rural,239614,16929,1164,33593,291,2187,1545,67,176303,876,6659
393,India,9,Uttar Pradesh,178,Sant Kabeer Nagar,2011,Urban,18426,488,99,2059,9,298,351,6,14377,61,678
394,India,9,Uttar Pradesh,179,Bhadohi,2011,Rural,187958,5506,882,61888,176,2054,5719,174,105551,725,5283
395,India,9,Uttar Pradesh,179,Bhadohi,2011,Urban,31727,480,184,4129,50,540,753,30,24674,230,657
396,India,9,Uttar Pradesh,180,Shahjahanpur,2011,Rural,418787,33710,1238,105742,242,2742,1686,136,261549,1082,10660
397,India,9,Uttar Pradesh,180,Shahjahanpur,2011,Urban,99414,2245,356,7504,57,1235,1455,64,81463,512,4523
398,India,9,Uttar Pradesh,181,Shravasti,2011,Rural,180317,24335,579,43043,223,1274,686,51,104340,570,5216
